seqname	miRNA_ctr1.bed	miRNA_ctr2.bed	miRNA_ctr3.bed	miRNA_trt4.bed	miRNA_trt5.bed	miRNA_trt6.bed
ID=MI0022879;Alias=MI0022879;Name=mmu-mir-7030	0	0	0	0	0	0
ID=MI0022880;Alias=MI0022880;Name=mmu-mir-7031	0	0	0	0	0	0
ID=MI0022881;Alias=MI0022881;Name=mmu-mir-7032	0	0	0	0	0	0
ID=MI0022882;Alias=MI0022882;Name=mmu-mir-7033	0	0	0	0	0	0
ID=MI0022883;Alias=MI0022883;Name=mmu-mir-7034	1	0	0	0	0	5
ID=MI0022884;Alias=MI0022884;Name=mmu-mir-7035	1	0	0	0	1	0
ID=MI0022885;Alias=MI0022885;Name=mmu-mir-7036a	0	0	1	0	0	0
ID=MI0022886;Alias=MI0022886;Name=mmu-mir-7037	0	0	0	3	1	0
ID=MI0022887;Alias=MI0022887;Name=mmu-mir-7038	0	1	0	0	0	0
ID=MI0022888;Alias=MI0022888;Name=mmu-mir-7039	0	0	0	0	0	0
ID=MI0022889;Alias=MI0022889;Name=mmu-mir-7040	0	0	0	0	0	0
ID=MI0022890;Alias=MI0022890;Name=mmu-mir-7041	0	0	0	0	0	0
ID=MI0022891;Alias=MI0022891;Name=mmu-mir-7042	0	0	0	0	2	0
ID=MI0022892;Alias=MI0022892;Name=mmu-mir-7043	0	1	0	0	0	0
ID=MI0022893;Alias=MI0022893;Name=mmu-mir-7044	0	0	0	0	0	0
ID=MI0022894;Alias=MI0022894;Name=mmu-mir-7045	4	1	0	1	0	0
ID=MI0022895;Alias=MI0022895;Name=mmu-mir-7046	1	2	0	2	1	1
ID=MI0022896;Alias=MI0022896;Name=mmu-mir-7047	0	2	0	0	0	0
ID=MI0022897;Alias=MI0022897;Name=mmu-mir-7048	0	1	0	0	0	0
ID=MI0022898;Alias=MI0022898;Name=mmu-mir-7049	431	0	0	0	0	0
ID=MI0022899;Alias=MI0022899;Name=mmu-mir-7050	0	0	0	3	3	0
ID=MI0022900;Alias=MI0022900;Name=mmu-mir-7051	0	0	0	0	0	0
ID=MI0022901;Alias=MI0022901;Name=mmu-mir-7052	0	0	0	0	0	0
ID=MI0022902;Alias=MI0022902;Name=mmu-mir-7053	0	0	0	0	0	0
ID=MI0022903;Alias=MI0022903;Name=mmu-mir-7054	0	0	0	0	0	0
ID=MI0022904;Alias=MI0022904;Name=mmu-mir-7055	1	2	0	0	0	0
ID=MI0022905;Alias=MI0022905;Name=mmu-mir-7056	0	0	0	0	0	0
ID=MI0022906;Alias=MI0022906;Name=mmu-mir-7057	0	0	0	0	0	0
ID=MI0022907;Alias=MI0022907;Name=mmu-mir-7058	0	0	0	0	0	0
ID=MI0022908;Alias=MI0022908;Name=mmu-mir-7059	2	0	0	0	0	0
ID=MI0022909;Alias=MI0022909;Name=mmu-mir-7060	2	0	2	0	2	0
ID=MI0022910;Alias=MI0022910;Name=mmu-mir-7061	0	0	0	0	0	0
ID=MI0022911;Alias=MI0022911;Name=mmu-mir-7062	0	0	0	0	0	0
ID=MI0022912;Alias=MI0022912;Name=mmu-mir-7063	2	1	1	4	0	3
ID=MI0022913;Alias=MI0022913;Name=mmu-mir-7064	0	0	0	1	0	0
ID=MI0022914;Alias=MI0022914;Name=mmu-mir-7065	0	0	0	0	0	0
ID=MI0022915;Alias=MI0022915;Name=mmu-mir-7066	1	0	0	0	0	0
ID=MI0022916;Alias=MI0022916;Name=mmu-mir-7067	0	0	0	0	0	0
ID=MI0022917;Alias=MI0022917;Name=mmu-mir-6769b	0	0	0	0	0	0
ID=MI0022918;Alias=MI0022918;Name=mmu-mir-7068	10	24	1	4	13	16
ID=MI0022919;Alias=MI0022919;Name=mmu-mir-7069	1	1	0	0	0	0
ID=MI0022920;Alias=MI0022920;Name=mmu-mir-7070	0	0	0	0	0	0
ID=MI0022921;Alias=MI0022921;Name=mmu-mir-7071	0	0	2	0	0	0
ID=MI0022922;Alias=MI0022922;Name=mmu-mir-7072	0	0	0	0	0	0
ID=MI0022923;Alias=MI0022923;Name=mmu-mir-7073	0	0	1	0	0	0
ID=MI0022924;Alias=MI0022924;Name=mmu-mir-7074	0	0	0	0	0	0
ID=MI0022925;Alias=MI0022925;Name=mmu-mir-7075	0	0	1	0	2	2
ID=MI0022926;Alias=MI0022926;Name=mmu-mir-7076	0	0	0	0	0	0
ID=MI0022927;Alias=MI0022927;Name=mmu-mir-7077	0	0	0	0	0	0
ID=MI0022928;Alias=MI0022928;Name=mmu-mir-7078	0	0	0	0	0	0
ID=MI0022929;Alias=MI0022929;Name=mmu-mir-7079	0	3	0	0	0	0
ID=MI0022930;Alias=MI0022930;Name=mmu-mir-7080	0	0	0	0	0	0
ID=MI0022931;Alias=MI0022931;Name=mmu-mir-7081	0	0	0	0	0	0
ID=MI0022932;Alias=MI0022932;Name=mmu-mir-7082	0	0	0	0	0	0
ID=MI0022933;Alias=MI0022933;Name=mmu-mir-7083	0	0	0	0	0	0
ID=MI0022934;Alias=MI0022934;Name=mmu-mir-7084	0	0	0	0	0	0
ID=MI0022935;Alias=MI0022935;Name=mmu-mir-7085	0	1	1	0	0	0
ID=MI0022936;Alias=MI0022936;Name=mmu-mir-7086	0	0	0	0	0	0
ID=MI0022937;Alias=MI0022937;Name=mmu-mir-7087	0	1	0	0	0	4
ID=MI0022938;Alias=MI0022938;Name=mmu-mir-7088	0	0	0	0	0	0
ID=MI0022939;Alias=MI0022939;Name=mmu-mir-7089	0	0	0	0	0	0
ID=MI0022940;Alias=MI0022940;Name=mmu-mir-7090	0	0	0	0	0	0
ID=MI0022941;Alias=MI0022941;Name=mmu-mir-7091	0	0	0	0	0	0
ID=MI0022942;Alias=MI0022942;Name=mmu-mir-7092	0	0	0	0	0	0
ID=MI0022943;Alias=MI0022943;Name=mmu-mir-7093	0	0	0	0	0	0
ID=MI0022944;Alias=MI0022944;Name=mmu-mir-7094-1	0	0	0	0	0	0
ID=MI0022945;Alias=MI0022945;Name=mmu-mir-7094-2	0	0	0	0	0	0
ID=MI0022966;Alias=MI0022966;Name=mmu-mir-7115	0	0	0	0	0	0
ID=MI0022967;Alias=MI0022967;Name=mmu-mir-7116	0	0	0	0	0	0
ID=MI0022968;Alias=MI0022968;Name=mmu-mir-7117	0	0	0	0	0	0
ID=MI0022969;Alias=MI0022969;Name=mmu-mir-7118	4	3	1	4	4	1
ID=MI0022970;Alias=MI0022970;Name=mmu-mir-7119	0	0	0	0	0	0
ID=MI0023541;Alias=MI0023541;Name=mmu-mir-692-3	2	15	7	5	17	22
ID=MI0023705;Alias=MI0023705;Name=mmu-mir-7210	754	819	302	406	653	665
ID=MI0023706;Alias=MI0023706;Name=mmu-mir-7211	0	0	0	0	0	2
ID=MI0023707;Alias=MI0023707;Name=mmu-mir-7212	0	1	0	0	0	0
ID=MI0023708;Alias=MI0023708;Name=mmu-mir-7213	0	0	1	0	0	0
ID=MI0023709;Alias=MI0023709;Name=mmu-mir-7214	102	130	43	67	77	109
ID=MI0023710;Alias=MI0023710;Name=mmu-mir-7215	0	3	0	0	1	4
ID=MI0023711;Alias=MI0023711;Name=mmu-mir-7216	3	2	0	0	3	4
ID=MI0023712;Alias=MI0023712;Name=mmu-mir-7217	270	310	109	194	311	282
ID=MI0023713;Alias=MI0023713;Name=mmu-mir-7218	100	101	22	41	52	59
ID=MI0023714;Alias=MI0023714;Name=mmu-mir-7219	0	0	0	0	0	0
ID=MI0023715;Alias=MI0023715;Name=mmu-mir-7220	0	0	0	0	0	0
ID=MI0023716;Alias=MI0023716;Name=mmu-mir-7221	11	15	6	13	16	31
ID=MI0023717;Alias=MI0023717;Name=mmu-mir-7222	20	28	8	15	30	18
ID=MI0023718;Alias=MI0023718;Name=mmu-mir-7223	8	3	5	8	4	2
ID=MI0023719;Alias=MI0023719;Name=mmu-mir-7224	0	0	0	0	0	0
ID=MI0023720;Alias=MI0023720;Name=mmu-mir-7225	3	2	0	0	2	0
ID=MI0023721;Alias=MI0023721;Name=mmu-mir-7226	0	1	0	0	0	3
ID=MI0023722;Alias=MI0023722;Name=mmu-mir-7227	0	0	0	0	1	0
ID=MI0023724;Alias=MI0023724;Name=mmu-mir-7229	121	92	58	69	71	98
ID=MI0023725;Alias=MI0023725;Name=mmu-mir-7230	82	88	32	45	76	77
ID=MI0023726;Alias=MI0023726;Name=mmu-mir-7231	0	0	0	0	0	0
ID=MI0023727;Alias=MI0023727;Name=mmu-mir-7232	85	99	38	55	65	99
ID=MI0023728;Alias=MI0023728;Name=mmu-mir-7233	107	129	50	49	83	60
ID=MI0023729;Alias=MI0023729;Name=mmu-mir-7234	51	49	22	28	43	48
ID=MI0023730;Alias=MI0023730;Name=mmu-mir-7235	0	0	0	0	0	0
ID=MI0023731;Alias=MI0023731;Name=mmu-mir-7236	0	0	0	0	0	3
ID=MI0023732;Alias=MI0023732;Name=mmu-mir-7237	1	0	1	0	1	0
ID=MI0023734;Alias=MI0023734;Name=mmu-mir-7239	0	0	1	0	0	0
ID=MI0023735;Alias=MI0023735;Name=mmu-mir-7240	0	0	0	0	0	0
ID=MI0023736;Alias=MI0023736;Name=mmu-mir-7241	55	32	22	33	32	36
ID=MI0023737;Alias=MI0023737;Name=mmu-mir-7242	178	183	63	129	144	218
ID=MI0024714;Alias=MI0024714;Name=mmu-mir-7578	0	0	0	0	0	0
ID=MI0024983;Alias=MI0024983;Name=mmu-mir-6546	0	1	0	0	0	0
ID=MI0024984;Alias=MI0024984;Name=mmu-mir-7646	0	1	0	0	2	0
ID=MI0024985;Alias=MI0024985;Name=mmu-mir-7647	0	0	0	1	0	0
ID=MI0024986;Alias=MI0024986;Name=mmu-mir-7648	1	2	0	1	3	3
ID=MI0024987;Alias=MI0024987;Name=mmu-mir-7649	0	0	0	0	0	0
ID=MI0024988;Alias=MI0024988;Name=mmu-mir-7650	0	0	0	0	0	0
ID=MI0024989;Alias=MI0024989;Name=mmu-mir-7651	0	0	0	0	0	0
ID=MI0024990;Alias=MI0024990;Name=mmu-mir-219b	1	0	1	0	0	0
ID=MI0024991;Alias=MI0024991;Name=mmu-mir-7036b	1	0	0	1	0	0
ID=MI0024992;Alias=MI0024992;Name=mmu-mir-7652	0	1	1	0	0	3
ID=MI0024993;Alias=MI0024993;Name=mmu-mir-7653	2	2	1	1	0	0
ID=MI0024994;Alias=MI0024994;Name=mmu-mir-7654	4	1	2	0	1	10
ID=MI0024995;Alias=MI0024995;Name=mmu-mir-7655	0	1	0	0	0	2
ID=MI0024996;Alias=MI0024996;Name=mmu-mir-7656	0	0	0	0	0	0
ID=MI0024997;Alias=MI0024997;Name=mmu-mir-7657	0	0	0	0	0	0
ID=MI0024998;Alias=MI0024998;Name=mmu-mir-7658	1	0	0	0	3	3
ID=MI0024999;Alias=MI0024999;Name=mmu-mir-7659	0	0	0	0	2	0
ID=MI0025000;Alias=MI0025000;Name=mmu-mir-7660	0	0	0	0	0	0
ID=MI0025001;Alias=MI0025001;Name=mmu-mir-7661	1	0	0	0	0	0
ID=MI0025002;Alias=MI0025002;Name=mmu-mir-7662	0	1	0	0	0	0
ID=MI0025003;Alias=MI0025003;Name=mmu-mir-7663	1	0	0	0	2	3
ID=MI0025004;Alias=MI0025004;Name=mmu-mir-7664	0	0	0	0	0	0
ID=MI0025005;Alias=MI0025005;Name=mmu-mir-7665	0	0	0	0	0	0
ID=MI0025006;Alias=MI0025006;Name=mmu-mir-7666	0	0	1	0	0	3
ID=MI0025007;Alias=MI0025007;Name=mmu-mir-7667	0	0	0	0	0	0
ID=MI0025008;Alias=MI0025008;Name=mmu-mir-7668	0	0	0	0	0	0
ID=MI0025009;Alias=MI0025009;Name=mmu-mir-7669	0	0	0	0	0	0
ID=MI0025010;Alias=MI0025010;Name=mmu-mir-7670	0	1	1	0	1	1
ID=MI0025011;Alias=MI0025011;Name=mmu-mir-7671	0	0	0	0	0	0
ID=MI0025012;Alias=MI0025012;Name=mmu-mir-7672	1	0	1	0	0	0
ID=MI0025013;Alias=MI0025013;Name=mmu-mir-7673	0	0	0	0	0	0
ID=MI0025014;Alias=MI0025014;Name=mmu-mir-3569	0	0	0	0	0	0
ID=MI0025015;Alias=MI0025015;Name=mmu-mir-7674	0	0	0	0	0	0
ID=MI0025016;Alias=MI0025016;Name=mmu-mir-7675	0	1	0	1	0	0
ID=MI0025017;Alias=MI0025017;Name=mmu-mir-7676-1	0	0	0	0	0	0
ID=MI0025018;Alias=MI0025018;Name=mmu-mir-7676-2	0	5	0	0	2	3
ID=MI0025019;Alias=MI0025019;Name=mmu-mir-129b	1	0	0	0	0	0
ID=MI0025020;Alias=MI0025020;Name=mmu-mir-292b	0	0	0	0	0	0
ID=MI0025021;Alias=MI0025021;Name=mmu-mir-1191b	1	1	0	0	2	0
ID=MI0025022;Alias=MI0025022;Name=mmu-mir-7677	0	0	0	0	0	0
ID=MI0025023;Alias=MI0025023;Name=mmu-mir-7678	1	0	0	0	0	0
ID=MI0025024;Alias=MI0025024;Name=mmu-mir-7679	0	0	0	0	0	0
ID=MI0025025;Alias=MI0025025;Name=mmu-mir-7680	0	0	0	0	0	0
ID=MI0025026;Alias=MI0025026;Name=mmu-mir-6715	0	0	0	0	0	0
ID=MI0025027;Alias=MI0025027;Name=mmu-mir-3620	0	0	0	0	0	0
ID=MI0025028;Alias=MI0025028;Name=mmu-mir-465d	0	0	0	0	0	0
ID=MI0025029;Alias=MI0025029;Name=mmu-mir-7681	0	0	1	0	0	0
ID=MI0025030;Alias=MI0025030;Name=mmu-mir-7682	0	0	0	0	0	0
ID=MI0025031;Alias=MI0025031;Name=mmu-mir-7683	0	0	0	0	0	0
ID=MI0025032;Alias=MI0025032;Name=mmu-mir-216c	0	0	3	0	0	0
ID=MI0025033;Alias=MI0025033;Name=mmu-mir-7684	0	0	0	0	0	0
ID=MI0025034;Alias=MI0025034;Name=mmu-mir-219c	1	0	0	2	1	0
ID=MI0025035;Alias=MI0025035;Name=mmu-mir-126b	26	40	14	30	42	38
ID=MI0025036;Alias=MI0025036;Name=mmu-mir-7685	0	0	0	0	0	0
ID=MI0025037;Alias=MI0025037;Name=mmu-mir-7686	0	0	0	0	0	0
ID=MI0025038;Alias=MI0025038;Name=mmu-mir-290b	0	0	0	0	2	0
ID=MI0025039;Alias=MI0025039;Name=mmu-mir-7687	1	0	0	0	0	0
ID=MI0025040;Alias=MI0025040;Name=mmu-mir-1258	0	0	0	0	0	0
ID=MI0025041;Alias=MI0025041;Name=mmu-mir-7688	0	0	0	1	0	0
ID=MI0025042;Alias=MI0025042;Name=mmu-mir-7689	0	0	0	0	0	0
ID=MI0025043;Alias=MI0025043;Name=mmu-mir-7243	0	0	0	0	0	0
ID=MI0026016;Alias=MI0026016;Name=mmu-mir-3473f	0	0	0	0	1	0
ID=MI0026017;Alias=MI0026017;Name=mmu-mir-8090	0	0	0	0	0	0
ID=MI0026018;Alias=MI0026018;Name=mmu-mir-8091	0	0	0	0	1	0
ID=MI0026019;Alias=MI0026019;Name=mmu-mir-8092	1	0	0	0	0	0
ID=MI0026020;Alias=MI0026020;Name=mmu-mir-8093	0	0	0	0	0	0
ID=MI0026021;Alias=MI0026021;Name=mmu-mir-8094	7	14	5	7	17	18
ID=MI0026022;Alias=MI0026022;Name=mmu-mir-8095	0	0	0	0	0	0
ID=MI0026023;Alias=MI0026023;Name=mmu-mir-1291	6	2	2	0	5	4
ID=MI0026024;Alias=MI0026024;Name=mmu-mir-8096	0	0	0	0	0	0
ID=MI0026025;Alias=MI0026025;Name=mmu-mir-8097	5	2	1	2	1	2
ID=MI0026026;Alias=MI0026026;Name=mmu-mir-8098	0	1	1	0	3	3
ID=MI0026027;Alias=MI0026027;Name=mmu-mir-8099-1	2	3	0	0	2	0
ID=MI0026028;Alias=MI0026028;Name=mmu-mir-142b	425	299	111	219	310	250
ID=MI0026029;Alias=MI0026029;Name=mmu-mir-8100	0	0	0	0	0	0
ID=MI0026030;Alias=MI0026030;Name=mmu-mir-497b	14	15	8	1	1	5
ID=MI0026031;Alias=MI0026031;Name=mmu-mir-8101	0	1	2	1	3	2
ID=MI0026032;Alias=MI0026032;Name=mmu-mir-8102	64	7	0	1	0	4
ID=MI0026033;Alias=MI0026033;Name=mmu-mir-8103	3	0	0	0	0	0
ID=MI0026034;Alias=MI0026034;Name=mmu-mir-8104	2	6	0	5	10	3
ID=MI0026035;Alias=MI0026035;Name=mmu-mir-8105	0	0	1	0	0	0
ID=MI0026036;Alias=MI0026036;Name=mmu-mir-3535	243	534	159	208	434	655
ID=MI0026037;Alias=MI0026037;Name=mmu-mir-8106	0	0	0	0	0	0
ID=MI0026038;Alias=MI0026038;Name=mmu-mir-8107	0	0	1	0	0	0
ID=MI0026039;Alias=MI0026039;Name=mmu-mir-8108	2	6	2	0	0	5
ID=MI0026040;Alias=MI0026040;Name=mmu-mir-1668	3	2	0	0	2	1
ID=MI0026041;Alias=MI0026041;Name=mmu-mir-8109	0	11	0	5	4	7
ID=MI0026042;Alias=MI0026042;Name=mmu-mir-8110	0	0	0	0	0	0
ID=MI0026043;Alias=MI0026043;Name=mmu-mir-8111	0	0	0	3	1	0
ID=MI0026044;Alias=MI0026044;Name=mmu-mir-8112	3	4	1	63	4	157
ID=MI0026045;Alias=MI0026045;Name=mmu-mir-8113	1	0	0	0	0	0
ID=MI0026046;Alias=MI0026046;Name=mmu-mir-8114	10	30	8	24	27	34
ID=MI0026047;Alias=MI0026047;Name=mmu-mir-8115	0	0	0	0	0	8
ID=MI0026048;Alias=MI0026048;Name=mmu-mir-8116	0	0	0	1	0	0
ID=MI0026049;Alias=MI0026049;Name=mmu-mir-8117	0	0	0	0	0	0
ID=MI0026050;Alias=MI0026050;Name=mmu-mir-8118	0	1	0	0	0	0
ID=MI0026051;Alias=MI0026051;Name=mmu-mir-8119	1	0	0	0	0	0
ID=MI0026052;Alias=MI0026052;Name=mmu-mir-8120	2	1	0	3	0	2
ID=MI0026053;Alias=MI0026053;Name=mmu-mir-8099-2	0	0	0	0	0	0
ID=MI0026054;Alias=MI0026054;Name=mmu-mir-3473g	0	0	0	0	0	0
ID=MI0030343;Alias=MI0030343;Name=mmu-mir-3154	0	0	0	0	0	3
ID=MI0030344;Alias=MI0030344;Name=mmu-mir-3552	0	0	0	0	3	0
ID=MI0030345;Alias=MI0030345;Name=mmu-mir-3618	0	0	0	0	0	0
ID=MI0030346;Alias=MI0030346;Name=mmu-mir-935	0	0	0	2	0	2
ID=MI0030982;Alias=MI0030982;Name=mmu-mir-9718	0	0	0	0	0	0
ID=MI0031120;Alias=MI0031120;Name=mmu-mir-9768	1	2	1	1	2	0
ID=MI0031121;Alias=MI0031121;Name=mmu-mir-9769	0	1	3	0	8	6
ID=MI0031752;Alias=MI0031752;Name=mmu-mir-6967-2	0	0	0	0	0	0
ID=MI0031753;Alias=MI0031753;Name=mmu-mir-466c-3	3	1	3	0	10	0
ID=MI0039503;Alias=MI0039503;Name=mmu-mir-1271	0	0	0	0	0	0
ID=MI0039504;Alias=MI0039504;Name=mmu-mir-1911	1	0	0	0	0	0
ID=MI0040615;Alias=MI0040615;Name=mmu-mir-5104b	0	0	0	0	0	0
ID=MI0040616;Alias=MI0040616;Name=mmu-mir-12178	0	0	0	0	0	0
ID=MI0040617;Alias=MI0040617;Name=mmu-mir-12179	0	0	0	0	0	0
ID=MI0040618;Alias=MI0040618;Name=mmu-mir-12180	0	0	1	0	0	6
ID=MI0040619;Alias=MI0040619;Name=mmu-mir-12181	0	0	0	0	0	0
ID=MI0040620;Alias=MI0040620;Name=mmu-mir-12182	0	0	0	0	0	0
ID=MI0040621;Alias=MI0040621;Name=mmu-mir-12183	0	0	0	0	0	0
ID=MI0040622;Alias=MI0040622;Name=mmu-mir-203b	27	42	23	50	50	33
ID=MI0040623;Alias=MI0040623;Name=mmu-mir-12184	1	0	0	0	0	0
ID=MI0040624;Alias=MI0040624;Name=mmu-mir-9b-2	23	2	0	0	1	11
ID=MI0040625;Alias=MI0040625;Name=mmu-mir-12185	0	0	3	0	0	0
ID=MI0040626;Alias=MI0040626;Name=mmu-mir-12186	0	0	0	0	0	0
ID=MI0040626_2;Alias=MI0040626;Name=mmu-mir-12186	0	1	0	1	0	0
ID=MI0040627;Alias=MI0040627;Name=mmu-mir-12187	0	0	0	0	0	0
ID=MI0040628;Alias=MI0040628;Name=mmu-mir-1970b	0	0	0	0	0	0
ID=MI0040629;Alias=MI0040629;Name=mmu-mir-12188	3	3	0	1	1	0
ID=MI0040630;Alias=MI0040630;Name=mmu-mir-3083b	0	0	0	0	0	0
ID=MI0040631;Alias=MI0040631;Name=mmu-mir-12189	0	0	0	0	0	0
ID=MI0040632;Alias=MI0040632;Name=mmu-mir-12190	0	0	0	0	0	0
ID=MI0040633;Alias=MI0040633;Name=mmu-mir-12191	1	0	1	3	0	1
ID=MI0040634;Alias=MI0040634;Name=mmu-mir-122b	1	0	0	0	1	0
ID=MI0040635;Alias=MI0040635;Name=mmu-mir-12192	0	0	0	0	0	0
ID=MI0040636;Alias=MI0040636;Name=mmu-mir-12193	0	0	0	2	1	0
ID=MI0040637;Alias=MI0040637;Name=mmu-mir-124b	5	0	1	5	8	0
ID=MI0040638;Alias=MI0040638;Name=mmu-mir-12194	0	0	0	0	0	0
ID=MI0040639;Alias=MI0040639;Name=mmu-mir-12195	0	0	1	0	0	0
ID=MI0040640;Alias=MI0040640;Name=mmu-mir-9b-1	2	7	1	5	2	2
ID=MI0040641;Alias=MI0040641;Name=mmu-mir-3473h	0	0	0	0	0	0
ID=MI0040642;Alias=MI0040642;Name=mmu-mir-12196	0	0	0	0	1	0
ID=MI0040643;Alias=MI0040643;Name=mmu-mir-12197	0	0	0	0	0	0
ID=MI0040644;Alias=MI0040644;Name=mmu-mir-12198	1	0	0	0	0	0
ID=MI0040645;Alias=MI0040645;Name=mmu-mir-12199	0	0	0	0	0	0
ID=MI0040646;Alias=MI0040646;Name=mmu-mir-12200	0	0	0	1	0	0
ID=MI0040647;Alias=MI0040647;Name=mmu-mir-12201	0	1	1	0	0	1
ID=MI0040648;Alias=MI0040648;Name=mmu-mir-12202	0	0	0	1	3	0
ID=MI0040649;Alias=MI0040649;Name=mmu-mir-9b-3	0	3	9	8	16	0
ID=MI0040650;Alias=MI0040650;Name=mmu-mir-12203	0	0	0	0	0	0
ID=MI0040651;Alias=MI0040651;Name=mmu-mir-12204	3	0	0	1	4	0
ID=MI0040652;Alias=MI0040652;Name=mmu-mir-1970c	0	3	0	0	0	0
ID=MI0040653;Alias=MI0040653;Name=mmu-mir-12205	0	0	0	0	1	0
ID=MI0040654;Alias=MI0040654;Name=mmu-mir-12206	0	0	0	0	0	0
ID=MIMAT0000121;Alias=MIMAT0000121;Name=mmu-let-7g-5p;Derives_from=MI0000137	731	670	340	365	718	636
ID=MIMAT0000122;Alias=MIMAT0000122;Name=mmu-let-7i-5p;Derives_from=MI0000138	463	469	165	296	474	764
ID=MIMAT0000123;Alias=MIMAT0000123;Name=mmu-miR-1a-3p;Derives_from=MI0000652	0	0	0	0	0	0
ID=MIMAT0000123_1;Alias=MIMAT0000123;Name=mmu-miR-1a-3p;Derives_from=MI0000139	7	13	10	10	23	36
ID=MIMAT0000124;Alias=MIMAT0000124;Name=mmu-miR-15b-5p;Derives_from=MI0000140	230	190	119	185	220	234
ID=MIMAT0000125;Alias=MIMAT0000125;Name=mmu-miR-23b-3p;Derives_from=MI0000141	54	21	21	20	37	15
ID=MIMAT0000126;Alias=MIMAT0000126;Name=mmu-miR-27b-3p;Derives_from=MI0000142	629	618	324	522	788	690
ID=MIMAT0000127;Alias=MIMAT0000127;Name=mmu-miR-29b-3p;Derives_from=MI0000712	0	6	2	2	3	5
ID=MIMAT0000127_1;Alias=MIMAT0000127;Name=mmu-miR-29b-3p;Derives_from=MI0000143	0	0	0	0	0	0
ID=MIMAT0000128;Alias=MIMAT0000128;Name=mmu-miR-30a-5p;Derives_from=MI0000144	622	577	259	359	473	453
ID=MIMAT0000129;Alias=MIMAT0000129;Name=mmu-miR-30a-3p;Derives_from=MI0000144	149	141	63	112	147	114
ID=MIMAT0000130;Alias=MIMAT0000130;Name=mmu-miR-30b-5p;Derives_from=MI0000145	418	386	194	274	362	255
ID=MIMAT0000131;Alias=MIMAT0000131;Name=mmu-miR-99a-5p;Derives_from=MI0000146	36	50	24	42	73	45
ID=MIMAT0000132;Alias=MIMAT0000132;Name=mmu-miR-99b-5p;Derives_from=MI0000147	248	310	126	184	380	384
ID=MIMAT0000133;Alias=MIMAT0000133;Name=mmu-miR-101a-3p;Derives_from=MI0000148	53	60	19	19	39	43
ID=MIMAT0000134;Alias=MIMAT0000134;Name=mmu-miR-124-3p;Derives_from=MI0000716	2	2	0	0	0	1
ID=MIMAT0000134_1;Alias=MIMAT0000134;Name=mmu-miR-124-3p;Derives_from=MI0000150	0	0	0	0	0	4
ID=MIMAT0000134_2;Alias=MIMAT0000134;Name=mmu-miR-124-3p;Derives_from=MI0000717	0	0	1	1	6	0
ID=MIMAT0000135;Alias=MIMAT0000135;Name=mmu-miR-125a-5p;Derives_from=MI0000151	200	240	96	171	209	249
ID=MIMAT0000136;Alias=MIMAT0000136;Name=mmu-miR-125b-5p;Derives_from=MI0000152	38	98	49	55	40	42
ID=MIMAT0000136_1;Alias=MIMAT0000136;Name=mmu-miR-125b-5p;Derives_from=MI0000725	84	4	6	0	61	106
ID=MIMAT0000137;Alias=MIMAT0000137;Name=mmu-miR-126a-5p;Derives_from=MI0000153	20	34	10	23	35	32
ID=MIMAT0000138;Alias=MIMAT0000138;Name=mmu-miR-126a-3p;Derives_from=MI0000153	2	6	4	4	5	6
ID=MIMAT0000139;Alias=MIMAT0000139;Name=mmu-miR-127-3p;Derives_from=MI0000154	16	70	52	1	94	5
ID=MIMAT0000140;Alias=MIMAT0000140;Name=mmu-miR-128-3p;Derives_from=MI0000155	238	187	105	149	163	117
ID=MIMAT0000140_1;Alias=MIMAT0000140;Name=mmu-miR-128-3p;Derives_from=MI0000726	0	0	0	1	2	0
ID=MIMAT0000141;Alias=MIMAT0000141;Name=mmu-miR-130a-3p;Derives_from=MI0000156	31	34	15	27	35	35
ID=MIMAT0000142;Alias=MIMAT0000142;Name=mmu-miR-9-5p;Derives_from=MI0000157	21	0	0	0	0	11
ID=MIMAT0000142_1;Alias=MIMAT0000142;Name=mmu-miR-9-5p;Derives_from=MI0000720	2	7	1	2	2	2
ID=MIMAT0000142_2;Alias=MIMAT0000142;Name=mmu-miR-9-5p;Derives_from=MI0000721	0	2	8	8	16	0
ID=MIMAT0000143;Alias=MIMAT0000143;Name=mmu-miR-9-3p;Derives_from=MI0000157	1	2	0	0	1	0
ID=MIMAT0000143_1;Alias=MIMAT0000143;Name=mmu-miR-9-3p;Derives_from=MI0000720	0	0	0	3	0	0
ID=MIMAT0000143_2;Alias=MIMAT0000143;Name=mmu-miR-9-3p;Derives_from=MI0000721	0	1	1	0	0	0
ID=MIMAT0000144;Alias=MIMAT0000144;Name=mmu-miR-132-3p;Derives_from=MI0000158	2	1	1	0	0	8
ID=MIMAT0000145;Alias=MIMAT0000145;Name=mmu-miR-133a-3p;Derives_from=MI0000159	0	0	0	0	0	0
ID=MIMAT0000145_1;Alias=MIMAT0000145;Name=mmu-miR-133a-3p;Derives_from=MI0000820	22	35	15	16	30	33
ID=MIMAT0000146;Alias=MIMAT0000146;Name=mmu-miR-134-5p;Derives_from=MI0000160	3	0	0	0	0	0
ID=MIMAT0000147;Alias=MIMAT0000147;Name=mmu-miR-135a-5p;Derives_from=MI0000715	0	2	0	0	0	0
ID=MIMAT0000147_1;Alias=MIMAT0000147;Name=mmu-miR-135a-5p;Derives_from=MI0000161	3	0	2	0	1	2
